time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-06-01 00:00:00,20,10.7,55,0,,50,7.6,,1009.3,,1
2025-06-01 01:00:00,18.3,12.3,68,0,,70,9.4,,1009.6,,1
2025-06-01 02:00:00,17.2,11.7,70,0,,120,9.4,,1009.5,,1
2025-06-01 03:00:00,16.7,11.2,70,0,,50,5.4,,1009.4,,1
2025-06-01 04:00:00,15,11.2,78,0,,50,9.4,,1009.7,,1
2025-06-01 05:00:00,14.4,11.2,81,0,,50,5.4,,1010,,1
2025-06-01 06:00:00,14.4,10.6,78,0,,0,0,,1010.4,,1
2025-06-01 07:00:00,14.4,10,75,0,,0,0,,1011,,1
2025-06-01 08:00:00,16.1,10,67,0,,0,0,,1011.7,,1
2025-06-01 09:00:00,17.8,10.7,63,0,,120,7.6,,1012.1,,1
2025-06-01 10:00:00,20,9.8,52,0,,120,11.2,,1012.4,,1
2025-06-01 11:00:00,22.2,10,46,0,,90,9.4,,1012.4,,1
2025-06-01 12:00:00,23.9,7.9,36,0,,110,11.2,,1012.4,,1
2025-06-01 13:00:00,24.4,7.9,35,0,,130,11.2,,1012.4,,1
2025-06-01 14:00:00,25.6,7.2,31,0,,150,7.6,,1012.2,,1
2025-06-01 15:00:00,26.7,7.2,29,0,,120,13,,1011.8,,1
2025-06-01 16:00:00,27.2,7.6,29,0,,120,13,,1011.4,,1
2025-06-01 17:00:00,26.7,7.2,29,0,,130,13,,1011,,1
2025-06-01 18:00:00,26.1,8.1,32,0,,130,14.8,,1010.8,,1
2025-06-01 19:00:00,25,7.6,33,0,,130,18.4,,1010.6,,1
2025-06-01 20:00:00,22.8,7.7,38,0,,140,13,,1010.7,,1
2025-06-01 21:00:00,20.6,8.2,45,0,,130,13,,1010.6,,1
2025-06-01 22:00:00,18.3,8.3,52,0,,130,9.4,,1011.4,,1
2025-06-01 23:00:00,16.7,8.9,60,0,,150,9.4,,1012,,1
2025-06-02 00:00:00,16.7,9.4,62,0,,150,11.2,,1012.2,,1
2025-06-02 01:00:00,16.1,9.3,64,0,,140,7.6,,1012.7,,1
2025-06-02 02:00:00,15,10,72,0,,140,7.6,,1012.6,,1
2025-06-02 03:00:00,15,10.6,75,0,,140,7.6,,1012.3,,1
2025-06-02 04:00:00,13.9,11.1,83,0,,140,9.4,,1012.2,,1
2025-06-02 05:00:00,13.3,11,86,0,,0,0,,1012.3,,1
2025-06-02 06:00:00,13.3,11,86,0,,130,9.4,,1012.1,,1
2025-06-02 07:00:00,14.4,12.3,87,0,,140,11.2,,1012.3,,1
2025-06-02 08:00:00,16.7,13.2,80,0,,150,7.6,,1012.2,,3
2025-06-02 09:00:00,20.6,14.9,70,0,,160,11.2,,1011.8,,1
2025-06-02 10:00:00,25,15,54,0,,200,18.4,,1011.7,,3
2025-06-02 11:00:00,27.2,14.6,46,0,,210,29.5,26,1011.5,,2
2025-06-02 12:00:00,28.3,14.5,43,0,,190,37.1,27,1010.3,,3
2025-06-02 13:00:00,28.9,13.1,38,0,,180,35.3,28,1009.5,,3
2025-06-02 14:00:00,28.9,15.4,44,0,,200,29.5,23,1009.1,,3
2025-06-02 15:00:00,29.4,15.5,43,0,,180,31.7,28,1008.5,,3
2025-06-02 16:00:00,30,14.5,39,0,,200,29.5,30,1008,,3
2025-06-02 17:00:00,30,12.8,35,0,,200,27.7,22,1007.5,,2
2025-06-02 18:00:00,29.4,14.4,40,0,,190,25.9,27,1006.7,,2
2025-06-02 19:00:00,28.3,14.5,43,0,,190,33.5,,1006.1,,3
2025-06-02 20:00:00,27.2,15.5,49,0,,180,20.5,,1006.4,,3
2025-06-02 21:00:00,25.6,16.2,56,0,,170,16.6,,1006.1,,3
2025-06-02 22:00:00,25,16.2,58,0,,170,14.8,,1006.5,,3
2025-06-02 23:00:00,25,16.7,60,0,,160,14.8,,1007.4,,3
2025-06-03 00:00:00,23.3,16.6,66,0,,170,5.4,,1007.6,,3
2025-06-03 01:00:00,22.2,17.1,73,0,,0,0,,1008.1,,3
2025-06-03 02:00:00,20,17.2,84,0,,140,11.2,,1006.9,,3
2025-06-03 03:00:00,21.1,17.1,78,0,,160,7.6,,1006.7,,3
2025-06-03 04:00:00,20.6,16.6,78,0,,140,13,,1006,,3
2025-06-03 05:00:00,20.6,16.6,78,0,,160,14.8,,1005.8,,25
2025-06-03 06:00:00,20.6,17.8,84,,,210,9.4,,1006.3,,8
2025-06-03 07:00:00,20,19.3,96,3,,0,0,,1005.9,,5
2025-06-03 08:00:00,20,19.3,96,,,70,5.4,,1005.6,,7
2025-06-03 09:00:00,20.6,19.4,93,,,0,0,,1005.8,,8
2025-06-03 10:00:00,20.6,19.9,96,0.3,,120,11.2,,1004.9,,9
2025-06-03 11:00:00,21.1,19.9,93,,,180,25.9,22,1004.7,,8
2025-06-03 12:00:00,20,18.8,93,2.7,,260,22.3,29,1006,,5
2025-06-03 13:00:00,16.7,16.1,96,1.3,,310,27.7,,1006.5,,5
2025-06-03 14:00:00,16.1,15,93,,,320,22.3,22,1008,,9
2025-06-03 15:00:00,15.6,14,90,,,340,25.9,,1008.7,,9
2025-06-03 16:00:00,15,13.9,93,1,,350,22.3,19,1009.3,,9
2025-06-03 17:00:00,15,13.9,93,0.5,,350,24.1,20,1010,,9
2025-06-03 18:00:00,15,13.4,90,0.8,,340,27.7,21,1009,,9
2025-06-03 19:00:00,15,13.4,90,,,350,22.3,22,1008.9,,9
2025-06-03 20:00:00,15,12.1,83,0,,340,20.5,,1010.2,,5
2025-06-03 21:00:00,14.4,11.2,81,0,,350,18.4,,1011.4,,5
2025-06-03 22:00:00,14.4,11.7,84,0,,340,14.8,,1011.7,,5
2025-06-03 23:00:00,14.4,11.7,84,0,,320,14.8,,1012.8,,5
2025-06-04 00:00:00,14.4,11.7,84,0,,340,11.2,,1013.4,,5
2025-06-04 01:00:00,13.9,12.3,90,0,,330,14.8,,1013.8,,5
2025-06-04 02:00:00,13.3,11.7,90,0,,340,11.2,,1013.7,,5
2025-06-04 03:00:00,11.7,11.1,96,0,,340,7.6,,1014,,5
2025-06-04 04:00:00,11.7,10.6,93,0,,330,9.4,,1014.5,,5
2025-06-04 05:00:00,10.6,10,96,0,,330,7.6,,1014.9,,5
2025-06-04 06:00:00,10,10,100,0,,330,7.6,,1015.7,,5
2025-06-04 07:00:00,12.2,11.1,93,0,,350,13,,1016.3,,5
2025-06-04 08:00:00,13.9,11.8,87,0,,350,13,,1016.6,,3
2025-06-04 09:00:00,17.2,12.1,72,0,,360,11.2,,1017.3,,3
2025-06-04 10:00:00,20,12.2,61,0,,20,11.2,,1017.3,,1
2025-06-04 11:00:00,21.1,10.6,51,0,,20,9.4,,1017.6,,3
2025-06-04 12:00:00,22.8,11.2,48,0,,20,11.2,,1017.2,,3
2025-06-04 13:00:00,23.3,10.7,45,0,,60,9.4,,1017,,3
2025-06-04 14:00:00,23.3,8.9,40,0,,80,9.4,,1017.2,,3
